REGION,CODE,NAME,Count,Year,1959/1960,1974,1977,1978,1981,1986,1999,2009/2010^[b]
Gulf Islands,GI-540,"Croker"" Rock""",2,1955,-,-,0,0,-,-,-,-
Gulf Islands,GI-550,Java Islets,x,1900,372[372],372[358],374[348],499[481],384[315],298,-,25[15]^[h]
Gulf Islands,GI-560,Blunden Islet,1 to 2,c1960,-,-,0,0,-,-,-,-
Gulf Islands,GI-590,Jackson Rock,1,1978,-,-,0,1,-,-,-,-
Gulf Islands,GI-595,Fulford Harbour,1,2022,-,-,-,-,-,-,-,-
Gulf Islands,GI-620,Tortoise Islets,1S,1977,-,-,1S,1S,-,-,-,-
Gulf Islands,GI-630,Arbutus Island,39,1976,-,-,-,69[55],89[83],150,55[7],68[53]
Gulf Islands,GI-640,Hatch Point - Wharf,2,1981,-,-,-,-,2[1],-,-,-
Gulf Islands,GI-656,Swartz Bay - Ferry Terminal,1,2020,-,-,-,-,-,-,-,-
Gulf Islands,GI-660,"Swartz Head"" Rocks""",1,1978,- 270[245]^[i],-,-,1,-,-,-,-
Gulf Islands,GI-670,Imrie Island,x,1927,,298[298],315[299],355[287],279[247],216,41[2],-
Gulf Islands,GI-680,Reay Island,5,1974,-,5[5],6[6],1,-,-,0,0
Gulf Islands,GI-690,Greig Island,20e,1963,-,40[39],-,44[38],53[46],52,14[2],17[14]
Gulf Islands,GI-710 Little Group,,35,1977,-,-,35,2[1],-,6,1S,0
Gulf Islands,GI-720 Rubly Island,,x,1977,-,-,x,0,-,-,-,-
Gulf Islands,GI-740 Sidney,,2,1981,-,-,-,-,2,4,-,-
Gulf Islands,GI-750 Mandarte Island,,x,1892,"1,800-2,000","1,047[1,037]","1,666^[j]",544[505]+^[k],"1,386[1,112]","2,363",-,"2,432[1,920]"
Gulf Islands,GI-770 Sallas Rocks,,29,1986,-,-,-,-,-,29,-,9[1]
Gulf Islands,GI-800 Ten Mile Point,,1,1960,1,-,-,-,-,-,-,-
Gulf Islands,GI-820 Jemmy Jones Island,,1S,1978,-,-,-,1S,-,-,-,-
Gulf Islands,GI-850 Mary Tod Island,,1,1986,-,-,-,-,-,1,-,2S
Gulf Islands,GI-880 Harris Island,,41,1971,-,-,28[28],47[38],19[6],22,-,-
Gulf Islands,GI-890,Chain Islets/Great Chain Island,x,1924,"700-1,000e","1,764[1,659]","1,838[1,789]","1,956[1,765]","1,880[1,508]","2,432",-,"2,066[1,410]"
Gulf Islands,GI-900 Trial Islands,,x,1948,50e,0,-,2S,-,-,-,100e
Gulf Islands,GI-905 Ogden Point - Port,,x,2008,-,-,-,-,-,-,-,-
Gulf Islands,GI-910 Harrison Island,,1,1980,-,-,-,-,-,-,-,-
Gulf Islands,GI-930 Victoria,,1,1958,-,-,-,-,-,110,-,-
Gulf Islands,GI-940 Brothers Islands,,143,1981,-,-,-,-,143[133],-,-,-
