Year,Location,Location Description,Site Number,Colony Size Class,Colony Location Class,Count,Type of Info,Lat,Long,Notes,Collector,Source
1977,Galiano Island,Cliffs NW of Gray Pen.,,1,,1,Nest,48.9059,-123.4158,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1977,Galiano Island,Cliffs,,1,,2,Nests,48.98,-123.5701,,"MS Rodway, RW Campbell",B.C. Nest Record Scheme
1985,Galiano Island,Cliffs,,1,,6,Nests,48.98,-123.5701,,,Vermeer and Devito 1989
1986,Galiano Island,Cliffs,,1,,6,Nests,48.98,-123.5701,,,Vermeer and Devito 1989
1974,Grebe Islets,,,3,,7,Pair,49.341,-123.2756,,R.W. Campbell,Campbell 1976
1978,Grebe Islets,,,3,,12,Nests,49.341,-123.2756,,,Moira Lemon
1980,Grebe Islets,,,3,,24,Nests,49.341,-123.2756,,"P Nott, M McNall",B.C. Nest Record Scheme
1981,Grebe Islets,,,3,,22,Nests,49.341,-123.2756,,,Moira Lemon
1986,Grebe Islets,,,3,,108,Nests,49.341,-123.2756,,Vermeer et al 1989,Rodway 1991
1999,Grebe Islets,,,3,,257,Nests,49.341,-123.2756,,,Sullivan et al 2002
2010,Grebe Islets,,,3,,33,Nests,49.341,-123.2756,,,
1963,Greig Island,,,3,,33,Pair,48.6783,-123.3389,Orig est 30-35,G McKay,B.C. Nest Record Scheme
1973,Greig Island,,,3,,35,Pair,48.6783,-123.3389,,,B.C Nest Record Scheme
1974,Greig Island,,,3,,40,Pair,48.6783,-123.3389,,,Campbell 1976
1981,Greig Island,,,3,,53,Nests,48.6783,-123.3389,,"M McNall, R Kool",B.C. Nest Record Scheme
1985,Greig Island,,,3,,45,Nests,48.6783,-123.3389,,,Vermeer and Devito 1989
1986,Greig Island,,,3,,52,Nests,48.6783,-123.3389,,,Vermeer and Devito 1989
1997,Greig Island,,,3,,5,Nests,48.6783,-123.3389,,,Sullivan et al 2002
1999,Greig Island,,,3,,14,Nests,48.6783,-123.3389,,,"Moira Lemon BLOY egg collection 1999, Sullivan et al. 2002"
2009,Greig Island,,,3,,17,Nests,48.6783,-123.3389,,T. Golumbia,Todd Golumbia pers. comm. 2009
1977,Harris Island,,,2,,28,Nests,48.4233,-123.2897,,M G Shepard,B.C. Nest Record Scheme
1981,Harris Island,,,2,,19,Nests,48.4233,-123.2897,,"E Taylor, L Giliberti, M McNall",B.C. Nest Record Scheme
1986,Harris Island,,,2,,22,Nests,48.4233,-123.2897,,,Vermeer and Devito 1989
1971,Harris Island (Oak Bay Is),,,2,,41,Nests,48.4233,-123.2897,,,B.C Nest Record Scheme
1986,Hodgson Islands,,,1,,1,Nest,49.6301,-124.0808,,,Vermeer and Devito 1989
2006,Hodgson Islands,,,1,,0,Nests. 20 GWGU,49.6301,-124.0808,,Rob Butler,Rob Butler pers.comm. 2009
1938,Hornby Island,Bluffs,,2,,30,Pair,49.5236,-124.5925,,Pearse 1956,Drent and Guiguet 1961
1960,Hornby Island,Bluffs,,,,0,Nests. 70 adults counted,49.5236,-124.5925,,Mr.G.E. Seon,Drent and Guiguet 1961
1968,Hornby Island,St. John Point,,2,,0,Nests,49.518,-124.5863,,GE Seon,B.C. Nest Record Scheme
1974,Hornby Island,St. John Point,,2,,5,Pair,49.518,-124.5863,,,Campbell 1976
1977,Hornby Island,Bluffs,,2,,1,Nest,49.5236,-124.5925,,D Thompson,B.C. Nest Record Scheme
